org_name	org_abbr	tax_ID
Cryptococcus neoformans var. grubii H99	Cryp_neof_var_grubii_H99	235443: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus neoformans var. neoformans B-3501A	Cryp_neof_var_neoformans_B_3501A	283643: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus neoformans var. neoformans JEC21	Cryp_neof_var_neoformans_JEC21	214684: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus pinus CBS 10737	Cryp_pinu_CBS_10737	1296096: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellales incertae sedis; 
Curvularia lunata CX-3	Curv_luna_CX_3	1263492: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; 
Cyberlindnera jadinii NBRC 0988 NBRC0988	Cybe_jadi_NBRC_0988_NBRC0988	1128122: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Phaffomycetaceae; 
Cylindrobasidium torrendii FP15055 ss-10	Cyli_torr_FP15055_ss_10	1314674: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Corticiales; Corticiaceae; Cylindrobasidium. 
Cyphellophora europaea CBS 101466	Cyph_euro_CBS_101466	1220924: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriomycetidae; Chaetothyriales; 
Dactylellina haptotyla CBS 200.50	Dact_hapt_CBS_200_50	1284197: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Orbiliomycetes; Orbiliales; Orbiliaceae; mitosporic Orbiliaceae; 
Debaryomyces hansenii CBS767	Deba_hans_CBS767	284592: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Drechslerella stenobrocha 248	Drec_sten_248	1043628: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Orbiliomycetes; Orbiliales; Orbiliaceae; mitosporic Orbiliaceae; 
Encephalitozoon cuniculi GB-M1	Ence_cuni_GB_M1	284813: Eukaryota; Fungi; Microsporidia; Unikaryonidae; Encephalitozoon. 
Encephalitozoon hellem ATCC 50504	Ence_hell_ATCC_50504	907965: Eukaryota; Fungi; Microsporidia; Unikaryonidae; Encephalitozoon. 
Encephalitozoon intestinalis ATCC 50506	Ence_inte_ATCC_50506	876142: Eukaryota; Fungi; Microsporidia; Unikaryonidae; Encephalitozoon. 
Encephalitozoon romaleae SJ-2008	Ence_roma_SJ_2008	1178016: Eukaryota; Fungi; Microsporidia; Unikaryonidae; Encephalitozoon. 
Endocronartium harknessii PhW48OC	Endo_hark_PhW48OC	1300066: Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Pucciniomycetes; Pucciniales; Cronartiaceae; Endocronartium. 
Endocarpon pusillum KoLRI No. LF000583	Endo_pusi_KoLRI_No_LF000583	364733: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriomycetidae; Verrucariales; 
Endocarpon pusillum Z07020	Endo_pusi_Z07020	1263415: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriomycetidae; Verrucariales; 
Enterocytozoon bieneusi H348	Ente_bien_H348	481877: Eukaryota; Fungi; Microsporidia; Enterocytozoonidae; Enterocytozoon. 
Epichloe festucae E2368	Epic_fest_E2368	696363: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Clavicipitaceae; 
Epichloe festucae Fl1	Epic_fest_Fl1	877507: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Clavicipitaceae; 
Eremothecium cymbalariae DBVPG#7215	Erem_cymb_DBVPG#7215	931890: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; 
Eutypa lata UCREL1	Euty_lata_UCREL1	1287681: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Xylariomycetidae; Xylariales; Diatrypaceae; 
Exophiala dermatitidis NIH/UT8656	Exop_derm_NIH_UT8656	858893: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriomycetidae; Chaetothyriales; 
